Drug1_name,Drug1_ID,Chem_formula1,Drug2_name,drug2_Id,Chem_formula2,Severity,Interaction,Drug1_Description,Drug2_Description
Goserelin,DB00014,C59H84N18O14,Paliperidone,DB01267,C23H27FN4O3,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,Paliperidone is an atypical antipsychotic used in the treatment of schizophrenia and other schizoaffective or delusional disorders.
Goserelin,DB00014,C59H84N18O14,Zuclopenthixol,DB01624,C22H25ClN2OS,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,"Zuclopenthixol is an antipsychotic indicated for the management of schizophrenia. The acuphase formulation is indicated for initial treatment of acute psychosis or exacerbation of psychosis, while the depot formulation is best for maintenance."
Lopinavir,DB01601,C37H48N4O5,Paliperidone,DB01267,C23H27FN4O3,MAJOR,0,Lopinavir is an HIV-1 protease inhibitor used in combination with ritonavir to treat human immunodeficiency virus (HIV) infection.,Paliperidone is an atypical antipsychotic used in the treatment of schizophrenia and other schizoaffective or delusional disorders.
Quetiapine,DB01224,C21H25N3O2S,Paliperidone,DB01267,C23H27FN4O3,MAJOR,0,"Quetiapine is an atypical antipsychotic agent used for the management of bipolar disorder, schizophrenia, and major depressive disorder.",Paliperidone is an atypical antipsychotic used in the treatment of schizophrenia and other schizoaffective or delusional disorders.
Quetiapine,DB01224,C21H25N3O2S,Zuclopenthixol,DB01624,C22H25ClN2OS,MAJOR,0,"Quetiapine is an atypical antipsychotic agent used for the management of bipolar disorder, schizophrenia, and major depressive disorder.","Zuclopenthixol is an antipsychotic indicated for the management of schizophrenia. The acuphase formulation is indicated for initial treatment of acute psychosis or exacerbation of psychosis, while the depot formulation is best for maintenance."
Lopinavir,DB01601,C37H48N4O5,Goserelin,DB00014,C59H84N18O14,MINOR,1,Lopinavir is an HIV-1 protease inhibitor used in combination with ritonavir to treat human immunodeficiency virus (HIV) infection.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Tetrabenazine,DB04844,C19H27NO3,Nilotinib,DB04868,C28H22F3N7O,MAJOR,0,Tetrabenazine is a vesicular monoamine transporter 2 (VMAT) inhibitor used for the management of chorea associated with Huntington's Disease.,Nilotinib is a kinase inhibitor used for the chronic phase treatment of Chronic Myeloid Leukemia (CML) that is Philadelphia chromosome positive and for the treatment of CML that is resistant to therapy containing imatinib.
Iloperidone,DB04946,C24H27FN2O4,Dronedarone,DB04855,C31H44N2O5S,MAJOR,0,Iloperidone is an atypical antipsychotic agent used to treat schizophrenia and manic or mixed episodes associated with bipolar I disorder in adults.,Dronedarone is an antiarrhythmic agent used in the reduce the risk of hospitalization in patients with paroxysmal or persistent atrial fibrillation.
Nilotinib,DB04868,C28H22F3N7O,Dronedarone,DB04855,C31H44N2O5S,MAJOR,0,Nilotinib is a kinase inhibitor used for the chronic phase treatment of Chronic Myeloid Leukemia (CML) that is Philadelphia chromosome positive and for the treatment of CML that is resistant to therapy containing imatinib.,Dronedarone is an antiarrhythmic agent used in the reduce the risk of hospitalization in patients with paroxysmal or persistent atrial fibrillation.
Tetrabenazine,DB04844,C19H27NO3,Iloperidone,DB04946,C24H27FN2O4,MAJOR,0,Tetrabenazine is a vesicular monoamine transporter 2 (VMAT) inhibitor used for the management of chorea associated with Huntington's Disease.,Iloperidone is an atypical antipsychotic agent used to treat schizophrenia and manic or mixed episodes associated with bipolar I disorder in adults.
Nilotinib,DB04868,C28H22F3N7O,Iloperidone,DB04946,C24H27FN2O4,MAJOR,0,Nilotinib is a kinase inhibitor used for the chronic phase treatment of Chronic Myeloid Leukemia (CML) that is Philadelphia chromosome positive and for the treatment of CML that is resistant to therapy containing imatinib.,Iloperidone is an atypical antipsychotic agent used to treat schizophrenia and manic or mixed episodes associated with bipolar I disorder in adults.
Goserelin,DB00014,C59H84N18O14,Tetrabenazine,DB04844,C19H27NO3,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,Tetrabenazine is a vesicular monoamine transporter 2 (VMAT) inhibitor used for the management of chorea associated with Huntington's Disease.
Goserelin,DB00014,C59H84N18O14,Dronedarone,DB04855,C31H44N2O5S,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,Dronedarone is an antiarrhythmic agent used in the reduce the risk of hospitalization in patients with paroxysmal or persistent atrial fibrillation.
Goserelin,DB00014,C59H84N18O14,Nilotinib,DB04868,C28H22F3N7O,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,Nilotinib is a kinase inhibitor used for the chronic phase treatment of Chronic Myeloid Leukemia (CML) that is Philadelphia chromosome positive and for the treatment of CML that is resistant to therapy containing imatinib.
Goserelin,DB00014,C59H84N18O14,Iloperidone,DB04946,C24H27FN2O4,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,Iloperidone is an atypical antipsychotic agent used to treat schizophrenia and manic or mixed episodes associated with bipolar I disorder in adults.
Tetrabenazine,DB04844,C19H27NO3,Dronedarone,DB04855,C31H44N2O5S,MAJOR,0,Tetrabenazine is a vesicular monoamine transporter 2 (VMAT) inhibitor used for the management of chorea associated with Huntington's Disease.,Dronedarone is an antiarrhythmic agent used in the reduce the risk of hospitalization in patients with paroxysmal or persistent atrial fibrillation.
Vandetanib,DB05294,C22H24BrFN4O2,Artemether,DB06697,C16H26O5,MAJOR,0,Vandetanib is an antineoplastic kinase inhibitor used to treat symptomatic or progressive medullary thyroid cancer in patients with unresectable locally advanced or metastatic disease.,Artemether is an antimalarial agent used in combination with lumefantrine for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
Goserelin,DB00014,C59H84N18O14,Vemurafenib,DB08881,C23H18ClF2N3O3S,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,"Vemurafenib is a kinase inhibitor used to treat patients with Erdheim-Chester Disease who have the BRAF V600 mutation, and melanoma in patients who have the BRAF V600E mutation."
Vemurafenib,DB08881,C23H18ClF2N3O3S,Artemether,DB06697,C16H26O5,MAJOR,0,"Vemurafenib is a kinase inhibitor used to treat patients with Erdheim-Chester Disease who have the BRAF V600 mutation, and melanoma in patients who have the BRAF V600E mutation.",Artemether is an antimalarial agent used in combination with lumefantrine for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
Asenapine,DB06216,C17H16ClNO,Artemether,DB06697,C16H26O5,MAJOR,0,Asenapine is an atypical antipsychotic used to treat patients with bipolar I disorder and patients with schizophrenia.,Artemether is an antimalarial agent used in combination with lumefantrine for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
Vandetanib,DB05294,C22H24BrFN4O2,Vemurafenib,DB08881,C23H18ClF2N3O3S,MAJOR,0,Vandetanib is an antineoplastic kinase inhibitor used to treat symptomatic or progressive medullary thyroid cancer in patients with unresectable locally advanced or metastatic disease.,"Vemurafenib is a kinase inhibitor used to treat patients with Erdheim-Chester Disease who have the BRAF V600 mutation, and melanoma in patients who have the BRAF V600E mutation."
Erythromycin,DB00199,C37H67NO13,Eliglustat,DB09039,C23H36N2O4,MAJOR,0,Erythromycin is a macrolide antibiotic used to treat and prevent a variety of bacterial infections.,"Eliglustat is a glucosylceramide synthase used to treat type 1 Gaucher disease in patients who are CYP2D6 extensive, intermediate, or poor metabolizers."
Moxifloxacin,DB00218,C21H24FN3O4,Eliglustat,DB09039,C23H36N2O4,MAJOR,0,Moxifloxacin is a fluoroquinolone antibiotic used to treat various bacterial infections.,"Eliglustat is a glucosylceramide synthase used to treat type 1 Gaucher disease in patients who are CYP2D6 extensive, intermediate, or poor metabolizers."
Azithromycin,DB00207,C38H72N2O12,Eliglustat,DB09039,C23H36N2O4,MAJOR,0,Azithromycin is a macrolide antibiotic used to treat a variety of bacterial infections.,"Eliglustat is a glucosylceramide synthase used to treat type 1 Gaucher disease in patients who are CYP2D6 extensive, intermediate, or poor metabolizers."
Methadone,DB00333,C21H27NO,Promazine,DB00420,C17H20N2S,MAJOR,0,Methadone is an opioid analgesic indicated for management of severe pain that is not responsive to alternative treatments. Also used to aid in detoxification and maintenance treatment of opioid addiction.,Promazine is a phenothiazine used to manage schizophrenia.
Methadone,DB00333,C21H27NO,Clozapine,DB00363,C18H19ClN4,MAJOR,0,Methadone is an opioid analgesic indicated for management of severe pain that is not responsive to alternative treatments. Also used to aid in detoxification and maintenance treatment of opioid addiction.,Clozapine is an atypical or second-generation antipsychotic drug used in treatment-resistant schizophrenia and to decrease suicide risk in schizophrenic patients.
Ciprofloxacin,DB00537,C17H18FN3O3,Chlorpromazine,DB00477,C17H19ClN2S,MAJOR,0,Ciprofloxacin is a second generation fluoroquinolone used to treat various susceptible bacterial infections.,"Chlorpromazine is a phenothiazine antipsychotic used to treat nausea, vomiting, preoperative anxiety, schizophrenia, bipolar disorder, and severe behavioral problems in children."
Telithromycin,DB00976,C43H65N5O10,Granisetron,DB00889,C18H24N4O,MAJOR,0,Telithromycin is an ketolide used to treat community acquired pneumonia of mild to moderate severity.,Granisetron is a 5HT3 antagonist used to treat nausea and vomiting in cancer therapy and postoperatively.
Telithromycin,DB00976,C43H65N5O10,Dolasetron,DB00757,C19H20N2O3,MAJOR,0,Telithromycin is an ketolide used to treat community acquired pneumonia of mild to moderate severity.,Dolasetron is an antinauseant and antiemetic used in chemotherapy and postoperatively.
Telithromycin,DB00976,C43H65N5O10,Ondansetron,DB00904,C18H19N3O,MAJOR,0,Telithromycin is an ketolide used to treat community acquired pneumonia of mild to moderate severity.,Ondansetron is a serotonin 5-HT3 receptor antagonist used to prevent nausea and vomiting in cancer chemotherapy and postoperatively.
Saquinavir,DB01232,C38H50N6O5,Propafenone,DB01182,C21H27NO3,MAJOR,0,Saquinavir is an HIV protease inhibitor used in combination with other antiretroviral agents for the treatment of HIV-1 with advanced immunodeficiency.,Propafenone is a Class 1C antiarrhythmic agent used in the management of paroxysmal atrial fibrillation/flutter and ventricular arrhythmias.
Saquinavir,DB01232,C38H50N6O5,Flecainide,DB01195,C17H20F6N2O3,MAJOR,0,Saquinavir is an HIV protease inhibitor used in combination with other antiretroviral agents for the treatment of HIV-1 with advanced immunodeficiency.,Flecainide is a class Ic antiarrhythmic agent used to manage atrial fibrillation and paroxysmal supraventricular tachycardias (PSVT).
Clarithromycin,DB01211,C38H69NO13,Propafenone,DB01182,C21H27NO3,MAJOR,0,"Clarithromycin is a macrolide antibiotic used for the treatment of a wide variety of bacterial infections such as acute otitis, pharyngitis, tonsillitis, respiratory tract infections, uncomplicated skin infections, and helicobacter pylori infection.",Propafenone is a Class 1C antiarrhythmic agent used in the management of paroxysmal atrial fibrillation/flutter and ventricular arrhythmias.
Paclitaxel,DB01229,C47H51NO14,Cabazitaxel,DB06772,C45H57NO14,MAJOR,0,"Paclitaxel is a taxoid chemotherapeutic agent used as first-line and subsequent therapy for the treatment of advanced carcinoma of the ovary, and other various cancers including breast and lung cancer.",Cabazitaxel is an antineoplastic agent used in combination with corticosteroids to treat metastatic castration-resistant prostate cancer in patients previously treated with a docetaxel-containing treatment regimen.
Docetaxel,DB01248,C43H53NO14,Cabazitaxel,DB06772,C45H57NO14,MAJOR,0,"Docetaxel is a taxoid antineoplastic agent used in the treatment of various cancers, such as locally advanced or metastatic breast cancer, metastatic prostate cancer, gastric adenocarcinoma, and head and neck cancer.",Cabazitaxel is an antineoplastic agent used in combination with corticosteroids to treat metastatic castration-resistant prostate cancer in patients previously treated with a docetaxel-containing treatment regimen.
Paclitaxel,DB01229,C47H51NO14,Docetaxel,DB01248,C43H53NO14,MAJOR,0,"Paclitaxel is a taxoid chemotherapeutic agent used as first-line and subsequent therapy for the treatment of advanced carcinoma of the ovary, and other various cancers including breast and lung cancer.","Docetaxel is a taxoid antineoplastic agent used in the treatment of various cancers, such as locally advanced or metastatic breast cancer, metastatic prostate cancer, gastric adenocarcinoma, and head and neck cancer."
Digoxin,DB00390,C41H64O14,Cabazitaxel,DB06772,C45H57NO14,MINOR,1,Digoxin is a cardiac glycoside used in the treatment of mild to moderate heart failure and for ventricular response rate control in chronic atrial fibrillation.,Cabazitaxel is an antineoplastic agent used in combination with corticosteroids to treat metastatic castration-resistant prostate cancer in patients previously treated with a docetaxel-containing treatment regimen.
Digoxin,DB00390,C41H64O14,Docetaxel,DB01248,C43H53NO14,MINOR,1,Digoxin is a cardiac glycoside used in the treatment of mild to moderate heart failure and for ventricular response rate control in chronic atrial fibrillation.,"Docetaxel is a taxoid antineoplastic agent used in the treatment of various cancers, such as locally advanced or metastatic breast cancer, metastatic prostate cancer, gastric adenocarcinoma, and head and neck cancer."
Cyclophosphamide,DB00531,C7H15Cl2N2O2P,Digitoxin,DB01396,C41H64O13,MAJOR,0,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma.","Digitoxin is a cardiac glycoside used in the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
Cyclophosphamide,DB00531,C7H15Cl2N2O2P,Bortezomib,DB00188,C19H25BN4O4,MAJOR,0,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma.",Bortezomib is a proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.
Digitoxin,DB01396,C41H64O13,Goserelin,DB00014,C59H84N18O14,MINOR,1,"Digitoxin is a cardiac glycoside used in the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.",Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Octreotide,DB00104,C49H66N10O10S2.,Goserelin,DB00014,C59H84N18O14,MINOR,1,Octreotide is a peptide drug used to treat acromegaly as well as diarrhea associated with metastatic carcinoid tumors and vasoactive intestinal peptide secreting tumors.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Bortezomib,DB00188,C19H25BN4O4,Goserelin,DB00014,C59H84N18O14,MINOR,1,Bortezomib is a proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Nelfinavir,DB00220,C32H45N3O4S,Isradipine,DB00270,C19H21N3O5,MAJOR,0,Nelfinavir is a viral protease inhibitor used in the treatment of HIV infection.,Isradipine is a dihydropyridine calcium channel blocker used for the treatment of hypertension.
Nelfinavir,DB00220,C32H45N3O4S,Ranolazine,DB00243,C24H33N3O4,MAJOR,0,Nelfinavir is a viral protease inhibitor used in the treatment of HIV infection.,Ranolazine is an anti-anginal drug used for the treatment of chronic angina.
Isradipine,DB00270,C19H21N3O5,Isradipine,DB00270,C19H21N3O5,MINOR,1,Isradipine is a dihydropyridine calcium channel blocker used for the treatment of hypertension.,Isradipine is a dihydropyridine calcium channel blocker used for the treatment of hypertension.
Nelfinavir,DB00220,C32H45N3O4S,Goserelin,DB00014,C59H84N18O14,MINOR,1,Nelfinavir is a viral protease inhibitor used in the treatment of HIV infection.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Fluconazole,DB00196,C13H12F2N6O,Goserelin,DB00014,C59H84N18O14,MINOR,1,Fluconazole is a triazole antifungal used to treat various fungal infections including candidiasis.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Amitriptyline,DB00321,C20H23N,Olanzapine,DB00334,C17H20N4S,MAJOR,0,"Amitriptyline is a tricyclic antidepressant indicated in the treatment of depressive illness, either endogenous or psychotic, and to relieve depression associated anxiety.","Olanzapine is an antipsychotic drug used in the management of schizophrenia, bipolar 1 disorder, and agitation associated with these disorders."
Atomoxetine,DB00289,C17H21NO,Olanzapine,DB00334,C17H20N4S,MINOR,1,Atomoxetine is a selective norepinephrine reuptake inhibitor (SNRI) used in the management of Attention Deficit Hyperactivity Disorder (ADHD).,"Olanzapine is an antipsychotic drug used in the management of schizophrenia, bipolar 1 disorder, and agitation associated with these disorders."
Olanzapine,DB00334,C17H20N4S,Goserelin,DB00014,C59H84N18O14,MINOR,1,"Olanzapine is an antipsychotic drug used in the management of schizophrenia, bipolar 1 disorder, and agitation associated with these disorders.",Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Olanzapine,DB00334,C17H20N4S,Venlafaxine,DB00285,C17H27NO2,MINOR,1,"Olanzapine is an antipsychotic drug used in the management of schizophrenia, bipolar 1 disorder, and agitation associated with these disorders.","Venlafaxine is a selective serotonin and norepinephrine reuptake inhibitor (SNRI) used for the treatment of major depression, generalized or social anxiety disorder, and panic disorder."
Atomoxetine,DB00289,C17H21NO,Goserelin,DB00014,C59H84N18O14,MINOR,1,Atomoxetine is a selective norepinephrine reuptake inhibitor (SNRI) used in the management of Attention Deficit Hyperactivity Disorder (ADHD).,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Goserelin,DB00014,C59H84N18O14,Venlafaxine,DB00285,C17H27NO2,MINOR,1,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,"Venlafaxine is a selective serotonin and norepinephrine reuptake inhibitor (SNRI) used for the treatment of major depression, generalized or social anxiety disorder, and panic disorder."
Mirtazapine,DB00370,C17H19N3,Alfuzosin,DB00346,C19H27N5O4,MAJOR,0,Mirtazapine is a tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.,Alfuzosin is an alpha-1 adrenergic antagonist used in the symptomatic management of benign prostatic hypertrophy (BPH).
Mirtazapine,DB00370,C17H19N3,Goserelin,DB00014,C59H84N18O14,MINOR,1,Mirtazapine is a tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Protriptyline,DB00344,C19H21N,Mefloquine,DB00358,C17H16F6N2O,MINOR,1,Protriptyline is a tricyclic antidepressant that is indicated in the treatment of depression only under close clinical supervision.,Mefloquine is an antimalarial agent used in the prophylaxis and treatment of malaria caused by Plasmodium falciparum and Plasmodium vivax.
Mirtazapine,DB00370,C17H19N3,Mefloquine,DB00358,C17H16F6N2O,MINOR,1,Mirtazapine is a tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.,Mefloquine is an antimalarial agent used in the prophylaxis and treatment of malaria caused by Plasmodium falciparum and Plasmodium vivax.
Protriptyline,DB00344,C19H21N,Alfuzosin,DB00346,C19H27N5O4,MINOR,1,Protriptyline is a tricyclic antidepressant that is indicated in the treatment of depression only under close clinical supervision.,Alfuzosin is an alpha-1 adrenergic antagonist used in the symptomatic management of benign prostatic hypertrophy (BPH).
Mefloquine,DB00358,C17H16F6N2O,Goserelin,DB00014,C59H84N18O14,MINOR,1,Mefloquine is an antimalarial agent used in the prophylaxis and treatment of malaria caused by Plasmodium falciparum and Plasmodium vivax.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Protriptyline,DB00344,C19H21N,Goserelin,DB00014,C59H84N18O14,MINOR,1,Protriptyline is a tricyclic antidepressant that is indicated in the treatment of depression only under close clinical supervision.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Alfuzosin,DB00346,C19H27N5O4,Goserelin,DB00014,C59H84N18O14,MINOR,1,Alfuzosin is an alpha-1 adrenergic antagonist used in the symptomatic management of benign prostatic hypertrophy (BPH).,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Protriptyline,DB00344,C19H21N,Mirtazapine,DB00370,C17H19N3,MINOR,1,Protriptyline is a tricyclic antidepressant that is indicated in the treatment of depression only under close clinical supervision.,Mirtazapine is a tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.
Sorafenib,DB00398,C21H16ClF3N4O3,Imipramine,DB00458,C19H24N2,MAJOR,0,"Sorafenib is a kinase inhibitor used to treat unresectable liver carcinoma, advanced renal carcinoma, and differentiated thyroid carcinoma.",Imipramine is a tricyclic antidepressant indicated for the treatment of depression and to reduce childhood enuresis.
Treprostinil,DB00374,C23H34O5,Goserelin,DB00014,C23H27FN4O3,MINOR,1,Treprostinil is a prostacyclin vasodilator for the treatment of pulmonary arterial hypertension to relieve exercise associated symptoms and to prevent clinical deterioration after stopping epoprostenol.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Trimethoprim,DB00440,C14H18N4O3,Imipramine,DB00458,C19H24N2,MINOR,1,"Trimethoprim is an antifolate antibiotic often used in combination with sulfamethoxazole to treat a number of infections, including those of the urinary tract, respiratory tract, and gastrointestinal tract.",Imipramine is a tricyclic antidepressant indicated for the treatment of depression and to reduce childhood enuresis.
Sorafenib,DB00398,C21H16ClF3N4O3,Goserelin,DB00014,C59H84N18O14,MINOR,1,"Sorafenib is a kinase inhibitor used to treat unresectable liver carcinoma, advanced renal carcinoma, and differentiated thyroid carcinoma.",Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Imipramine,DB00458,C19H24N2,Treprostinil,DB00374,C23H34O5,MINOR,1,Imipramine is a tricyclic antidepressant indicated for the treatment of depression and to reduce childhood enuresis.,Treprostinil is a prostacyclin vasodilator for the treatment of pulmonary arterial hypertension to relieve exercise associated symptoms and to prevent clinical deterioration after stopping epoprostenol.
Goserelin,DB00014,C59H84N18O14,Trimethoprim,DB00440,C14H18N4O3,MINOR,1,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,"Trimethoprim is an antifolate antibiotic often used in combination with sulfamethoxazole to treat a number of infections, including those of the urinary tract, respiratory tract, and gastrointestinal tract."
Nortriptyline,DB00540,C19H21N,Amoxapine,DB00543,C17H16ClN3O,MAJOR,0,Nortriptyline is a tricyclic antidepressant used in the treatment of depression.,Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
Nortriptyline,DB00540,C19H21N,Goserelin,DB00014,C59H84N18O14,MINOR,1,Nortriptyline is a tricyclic antidepressant used in the treatment of depression.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Amoxapine,DB00543,C17H16ClN3O,Goserelin,DB00014,C59H84N18O14,MINOR,1,Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Foscarnet,DB00529,CH3O5P,Goserelin,DB00014,C59H84N18O14,MINOR,1,"Foscarnet is an antiviral used to treat CMV, HIV, and HSV infections.",Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Ritonavir,DB00503,C37H48N6O5S2,Goserelin,DB00014,C59H84N18O14,MINOR,1,Ritonavir is an HIV protease inhibitor used in combination with other antivirals in the treatment of HIV infection.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Ritonavir,DB00503,C37H48N6O5S2,Foscarnet,DB00529,CH3O5P,MINOR,1,Ritonavir is an HIV protease inhibitor used in combination with other antivirals in the treatment of HIV infection.,"Foscarnet is an antiviral used to treat CMV, HIV, and HSV infections."
Foscarnet,DB00529,CH3O5P,Nortriptyline,DB00540,C19H21N,MINOR,1,"Foscarnet is an antiviral used to treat CMV, HIV, and HSV infections.",Nortriptyline is a tricyclic antidepressant used in the treatment of depression.
Foscarnet,DB00529,CH3O5P,Amoxapine,DB00543,C17H16ClN3O,MINOR,1,"Foscarnet is an antiviral used to treat CMV, HIV, and HSV infections.",Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
Goserelin,DB00014,C59H84N18O14,Hydroxyzine,DB00557,C21H27ClN2O2,MAJOR,0,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,"Hydroxyzine is an antihistamine used to treat anxiety and tension associated with psychoneuroses, as well as allergic conditions such as pruritus and chronic urticaria."
Voriconazole,DB00582,C16H14F3N5O,Hydroxyzine,DB00557,C21H27ClN2O2,MAJOR,0,Voriconazole is a triazole compound used to treat fungal infections.,"Hydroxyzine is an antihistamine used to treat anxiety and tension associated with psychoneuroses, as well as allergic conditions such as pruritus and chronic urticaria."
Trazodone,DB00656,C19H22ClN5O,Voriconazole,DB00582,C16H14F3N5O,MAJOR,0,Trazodone is a serotonin uptake inhibitor used to treat major depressive disorder.,Voriconazole is a triazole compound used to treat fungal infections.
Trazodone,DB00656,C19H22ClN5O,Nicardipine,DB00622,C26H29N3O6,MAJOR,0,Trazodone is a serotonin uptake inhibitor used to treat major depressive disorder.,Nicardipine is a calcium channel blocker used for the short-term treatment of hypertension and chronic stable angina.
Trazodone,DB00656,C19H22ClN5O,Goserelin,DB00014,C59H84N18O14,MAJOR,0,Trazodone is a serotonin uptake inhibitor used to treat major depressive disorder.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
Trazodone,DB00656,C19H22ClN5O,Hydroxyzine,DB00557,C21H27ClN2O2,MAJOR,0,Trazodone is a serotonin uptake inhibitor used to treat major depressive disorder.,"Hydroxyzine is an antihistamine used to treat anxiety and tension associated with psychoneuroses, as well as allergic conditions such as pruritus and chronic urticaria."
Nicardipine,DB00622,C26H29N3O6,Hydroxyzine,DB00557,C21H27ClN2O2,MAJOR,0,Nicardipine is a calcium channel blocker used for the short-term treatment of hypertension and chronic stable angina.,"Hydroxyzine is an antihistamine used to treat anxiety and tension associated with psychoneuroses, as well as allergic conditions such as pruritus and chronic urticaria."
Nicardipine,DB00622,C26H29N3O6,Goserelin,DB00014,C59H84N18O14,MINOR,1,Nicardipine is a calcium channel blocker used for the short-term treatment of hypertension and chronic stable angina.,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.
